TransactionID,DateID,CustomerID,ProductID,Quantity,TotalAmount (FCFA)
6e92ef7f-6477-4b96-a79e-3fe7159c8bf7,20220930,c009d7b5-d21a-4224-9849-29bfb2edffde,499bce52-e5d6-42ce-9c6e-9f0ac5c0a50e,1,65239.71
6a69e8a6-f4d4-4cb1-8c49-fb3b529d6225,20221005,fd24ca0e-f75c-48c4-8766-7618af06d990,e3267f7b-ecb6-4e0d-ba61-e0ffea5ecc89,1,8905.43
544b9d0d-5028-4969-ac58-6a2b298a0dcf,20221108,2ee40702-186b-4108-8c93-3a822d1725b4,5634bf19-5808-4886-9ca3-642be48fa78c,4,147858.92
db3ef339-c21c-4ed6-bbbe-0c87231060ab,20220421,09eb68f1-ca5f-4127-8f83-d8506b17f5a4,241cc28d-106a-450c-b94a-24379a8f0fc0,2,32310.0
ea2c5b94-60de-4e85-845e-c612345722b3,20220706,4d1fdb6e-55c2-4bac-bef5-9cce935d43c5,b6237799-9566-41e7-b88f-6ad64023a13d,9,616253.31
1cefcc09-1b22-405e-9df6-a3fd4b7379ad,20220118,4a8cd13e-2227-4d84-8158-e27415a0b0da,7b29d726-2630-4979-b26c-f2f526ebaa39,4,335126.24
a9c4771e-2789-439f-9f77-9ab0b532e154,20220204,601ad835-e779-46b8-bb79-8e1263bec62a,9401a302-1b89-4e31-a115-52cf8a9f00d2,1,101705.38
fed494df-6382-4356-acba-d21b6d541771,20220617,5f865ce4-2977-40bd-972c-69bed5d5af60,9eac14ad-ca5d-4794-b2fe-03b02c158cdf,1,63447.64
5b9c1354-12ed-4c6f-bdd8-9fed2f0d34e7,20220104,de7e492f-d006-411b-b612-a98586828821,80732120-89d7-4514-9c66-85834427d6ec,3,266925.36
3f28c71d-243f-4a73-ab35-70d7a19b56fd,20220428,afca681b-dd03-4ee9-8430-dd5a15e6c01c,79f8691e-0690-4ced-bcfc-75d33215a767,5,1281666.1
